benchmark,solver,score
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_01_007.smt2.slack.smt2,cvc5::cvc5_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_01_007.smt2.slack.smt2,cvc5::cvc5_lia_default,120
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_01_007.smt2.slack.smt2,z3::z3_lia_arith,23.921
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_01_007.smt2.slack.smt2,z3::z3_lia_default,22.071
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_006.smt2.slack.smt2,cvc5::cvc5_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_006.smt2.slack.smt2,cvc5::cvc5_lia_default,120
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_006.smt2.slack.smt2,z3::z3_lia_arith,0.065
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_006.smt2.slack.smt2,z3::z3_lia_default,0.164
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_008.smt2.slack.smt2,cvc5::cvc5_lia_arith,1.752
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_008.smt2.slack.smt2,cvc5::cvc5_lia_default,1.75
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_008.smt2.slack.smt2,z3::z3_lia_arith,0.041
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_008.smt2.slack.smt2,z3::z3_lia_default,0.023
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_03_007.smt2.slack.smt2,cvc5::cvc5_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_03_007.smt2.slack.smt2,cvc5::cvc5_lia_default,120
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_03_007.smt2.slack.smt2,z3::z3_lia_arith,7.31
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_03_007.smt2.slack.smt2,z3::z3_lia_default,22.064
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage11.smt2,cvc5::cvc5_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage11.smt2,cvc5::cvc5_lia_default,120
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage11.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage11.smt2,z3::z3_lia_default,9.174
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage22.smt2,cvc5::cvc5_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage22.smt2,cvc5::cvc5_lia_default,120
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage22.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage22.smt2,z3::z3_lia_default,120
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage9.smt2,cvc5::cvc5_lia_arith,14.448
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage9.smt2,cvc5::cvc5_lia_default,14.412
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage9.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage9.smt2,z3::z3_lia_default,7.425
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__012.smt2.slack.smt2,cvc5::cvc5_lia_arith,0.005
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__012.smt2.slack.smt2,cvc5::cvc5_lia_default,0.006
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__012.smt2.slack.smt2,z3::z3_lia_arith,0.011
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__012.smt2.slack.smt2,z3::z3_lia_default,0.019
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__033.smt2.slack.smt2,cvc5::cvc5_lia_arith,0.008
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__033.smt2.slack.smt2,cvc5::cvc5_lia_default,0.008
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__033.smt2.slack.smt2,z3::z3_lia_arith,0.01
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__033.smt2.slack.smt2,z3::z3_lia_default,0.008
data/suite_500/QF_LIA/20180326-Bromberger/v15_problem_2__005.smt2.slack.smt2,cvc5::cvc5_lia_arith,0.006
